"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D07","Read documents to gather technical information.","61.3%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D03","Prepare research reports.","60.7%","69","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D05","Design integrated computer systems.","59.5%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I04.D02","Analyze data to identify trends or relationships among variables.","57.5%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D07","Update knowledge about emerging industry or technology trends.","57.1%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I12.D01","Conduct quantitative failure analyses of operational data.","55.8%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06.D07","Prepare data for analysis.","55.4%","212","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I03.D03","Develop marketing plans or strategies.","55.0%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D07","Collaborate with others to determine design specifications or details.","54.8%","132","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D08","Design websites or web applications.","54.6%","124","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D14","Analyze data to identify or resolve operational problems.","54.4%","129","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D09","Develop instructional materials.","53.5%","64","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D09","Analyze data to assess operational or project effectiveness.","53.1%","238","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I11.D03","Apply mathematical models of financial or business conditions.","52.5%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D01","Develop organizational policies or programs.","52.2%","313","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I12.D02","Analyze security of systems, network, or data.","52.1%","181","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I20.D09","Research product safety.","52.1%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D12","Analyze data to inform operational decisions or activities.","51.3%","521","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D08","Analyze forecasting data to improve business decisions.","50.6%","100","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D04","Collaborate with others to prepare or perform artistic productions.","50.4%","65","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I08.D01","Identify implications for cases from legal precedents or other legal information.","50.1%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I06.D01","Gather organizational performance information.","50.1%","68","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D07","Develop strategies or programs for students with special needs.","49.9%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I27.D02","Develop organizational goals or objectives.","49.8%","199","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I22.D03","Investigate safety of work environment.","49.6%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I03.D05","Develop promotional strategies or plans.","49.5%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D11","Update job related knowledge or skills.","49.4%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04.D07","Search files, databases or reference materials to obtain needed information.","49.1%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D02","Develop computer or information systems.","48.7%","379","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I07.D04","Manage human resources activities.","48.7%","312","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I05.D02","Research relevant legal materials to aid decision making.","48.6%","65","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D07","Estimate supplies, ingredients, or staff requirements for food preparation activities.","48.5%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D03","Design computer modeling or simulation programs.","48.2%","101","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D39","Direct organizational operations, projects, or services.","47.8%","809","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D09","Develop computer or information security policies or procedures.","47.7%","245","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D12","Apply information technology to solve business or other applied problems.","47.3%","78","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I04.D02","Troubleshoot issues with computer applications or systems.","47.3%","205","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D12","Manage operations, research, or logistics projects.","47.2%","406","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D04","Document technical specifications or requirements.","47.1%","186","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D07","Modify software programs to improve performance.","47.1%","229","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I11.D07","Analyze financial records to improve efficiency.","46.2%","108","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D02","Identify information technology project resource requirements.","46.0%","105","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I02.D04","Identify strategic business investment opportunities.","45.9%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D10","Develop educational goals, standards, policies, or procedures.","45.5%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01.D04","Review accuracy of sales or other transactions.","45.5%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I04.D01","Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.","45.5%","245","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D10","Develop training materials.","45.3%","59","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I07.D01","Edit written materials.","45.1%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I03.D01","Resolve employee or contractor problems.","44.9%","440","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03.D04","Prepare scientific or technical reports or presentations.","44.8%","60","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I14.D04","Conduct opinion surveys or needs assessments.","44.5%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I04.D03","Explain financial information to customers.","44.5%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D10","Design software applications.","44.3%","174","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D04","Coordinate software or hardware installation.","43.6%","195","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I03.D02","Analyze risks related to investments in green technology.","43.6%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I03.D02","Direct productions or performances.","43.4%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I10.D01","Evaluate project designs to determine adequacy or feasibility.","43.3%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D04","Calculate specific material, equipment, or labor requirements for production.","43.0%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D18","Manage operations of artistic or entertainment departments or organizations.","43.0%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I02.D01","Implement security measures for computer or information systems.","42.4%","52","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I09.D01","Implement organizational process or policy changes.","42.3%","289","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D08","Estimate cost or material requirements.","42.3%","97","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03.D01","Compile operational data.","42.2%","182","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I01.D03","Write computer programming code.","42.2%","72","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I04.D03","Resolve computer software problems.","42.2%","92","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15.D06","Prepare operational progress or status reports.","41.7%","256","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D02","Allocate physical resources within organizations.","41.6%","54","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D17","Supervise laboratory work.","41.5%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I01.D02","Prepare financial documents, reports, or budgets.","41.5%","522","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D02","Prepare reports related to compliance matters.","41.2%","99","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I02.D05","Communicate organizational information to customers or other stakeholders.","40.8%","156","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I07.D07","Develop performance metrics or standards related to information technology.","40.7%","230","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D05","Document design or development procedures.","40.4%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D13","Conduct research to inform art, designs, or other work.","40.1%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I06.D04","Create databases to store electronic data.","39.4%","120","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I08.D03","Test software performance.","39.1%","107","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I02.D02","Advise customers on technical or procedural issues.","39.0%","281","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D13","Perform manual service or maintenance tasks.","38.9%","35","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D07","Deliver promotional presentations to current or prospective customers.","38.8%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D03","Stay informed about current developments in field of specialization.","38.8%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D03","Direct sales, marketing, or customer service activities.","38.6%","257","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D24","Maintain repair or maintenance records.","38.6%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I03.D04","Configure computer networks.","38.5%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D18","Attend training sessions or professional meetings to develop or maintain professional knowledge.","38.4%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D06","Determine pricing or monetary policies.","38.2%","182","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I09.D05","Implement financial decisions.","38.1%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I11.D01","Test air quality at work sites.","38.1%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I08.D02","Test computer system operations to ensure proper functioning.","37.9%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D04","Develop business or financial information systems.","37.6%","36","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D09","Provide basic information to guests, visitors, or clients.","37.5%","104","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I08.D04","Advise others on legal or regulatory compliance matters.","37.4%","75","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D14","Confer with organizational members to accomplish work activities.","37.4%","630","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I16.D02","Write material for artistic or entertainment purposes.","37.3%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D30","Document organizational or operational procedures.","37.3%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D08","Review technical documents to plan work.","37.1%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I12.D03","Develop content for sales presentations or other materials.","36.9%","46","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D05","Write informational material.","36.9%","44","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D21","Update professional knowledge.","36.8%","87","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D11","Negotiate project specifications.","36.6%","83","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02.D03","Negotiate labor disputes.","36.5%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I02.D03","Communicate organizational policies and procedures.","36.5%","81","","","","","","","","","","","","","","","","","","","","","",""
