"iwaid","iwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I21","Develop models of systems, processes, or products.","55.5%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I03","Develop business or marketing plans.","52.1%","88","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I12","Analyze performance of systems or equipment.","51.8%","222","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I08","Research laws, precedents, or other legal data.","50.1%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I10","Evaluate project feasibility.","49.8%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I22","Investigate organizational or operational problems.","49.7%","42","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02","Design computer or information systems or applications.","48.4%","1140","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I04","Analyze scientific or applied data using mathematical principles.","46.9%","267","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I02","Analyze market or industry conditions.","46.3%","71","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I17","Obtain formal documentation or authorization.","45.5%","49","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07","Analyze data to improve operations.","45.3%","1177","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I07","Edit written materials or documents.","45.1%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I07","Manage human resources activities.","44.8%","330","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I03","Analyze business or financial risks.","43.8%","49","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I05","Consult legal materials or public records.","43.1%","88","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I09","Implement procedures or processes.","41.6%","350","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I04","Resolve computer problems.","41.6%","423","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03","Develop operational or technical procedures or standards.","41.5%","344","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I01","Prepare financial documents, reports, or budgets.","41.2%","538","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I03","Resolve personnel or operational problems.","40.3%","485","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01","Develop organizational policies, systems, or processes.","40.2%","701","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I07","Develop technical specifications for products or operations.","39.8%","233","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06","Direct scientific or technical activities.","39.4%","233","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I27","Develop organizational or program goals or objectives.","38.8%","244","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I08","Test performance of computer or information systems.","38.8%","134","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09","Communicate with others about specifications or project details.","38.7%","322","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I03","Present research or technical information.","38.5%","294","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I06","Gather data about operational or development activities.","38.5%","87","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I11","Test sites or materials for environmental hazards.","37.9%","67","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I11","Analyze business or financial data.","36.9%","612","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I12","Develop marketing or promotional materials.","36.3%","51","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I06","Design databases.","36.2%","129","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I04","Explain financial information.","35.6%","83","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12","Prepare informational or instructional materials.","35.3%","545","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09","Document technical designs, procedures, or activities.","35.2%","267","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04","Gather information from physical or electronic sources.","35.1%","122","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I16","Write material for artistic or commercial purposes.","35.0%","95","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I03","Coordinate artistic or entertainment activities.","34.4%","198","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04","Advise others on the design or use of technologies.","34.3%","325","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I22","Position tools or equipment.","34.1%","46","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I15","Prepare reports of operational or procedural activities.","34.0%","325","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I02","Implement security measures for computer or information systems.","33.7%","208","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I21","Investigate incidents or accidents.","33.5%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I09","Research organizational behavior, processes, or performance.","33.2%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I01","Program computer systems or production equipment.","33.2%","92","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I03","Set up computer systems, networks, or other information systems.","32.6%","94","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I05","Operate audiovisual or related equipment.","32.2%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11","Coordinate activities with clients, agencies, or organizations.","31.9%","306","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I24","Design electrical or electronic systems or equipment.","31.8%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12","Direct organizational operations, activities, or procedures.","31.6%","2269","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I20","Research technology designs or applications.","31.5%","72","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I02","Explain regulations, policies, or procedures.","31.5%","385","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02","Evaluate programs, practices, or processes.","31.3%","135","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I09","Operate laboratory or field equipment.","31.2%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08","Determine resource needs of projects or operations.","31.1%","408","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I08","Monitor external affairs, trends, or events.","30.7%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I07","Prepare proposals or grant applications.","30.5%","57","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05","Advise others on business or operational matters.","30.5%","318","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I09","Evaluate condition of financial assets, property, or other resources.","30.2%","92","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I21","Apply hygienic or cosmetic agents to skin or hair.","30.0%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I10","Signal others to coordinate work activities.","29.9%","84","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18","Create visual designs or displays.","29.8%","250","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15","Develop educational programs, plans, or procedures.","29.6%","274","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I05","Evaluate designs, specifications, or other technical data.","29.5%","81","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I06","Communicate with others about business strategies.","29.4%","238","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I01","Mediate disputes.","29.3%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I09","Manage budgets or finances.","29.1%","788","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I04","Manage agricultural or forestry operations.","29.0%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14","Prepare legal or regulatory documents.","28.5%","355","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03","Compile records, documentation, or other data.","28.5%","388","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I04","Evaluate personnel capabilities or performance.","28.2%","410","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06","Process digital or online data.","27.9%","419","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I02","Identify business or organizational opportunities.","27.8%","135","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I04","Assess characteristics of land or property.","27.6%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I22","Develop news, entertainment, or artistic content.","27.5%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03","Promote products, services, or programs.","27.5%","260","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01","Maintain current knowledge in area of expertise.","27.4%","545","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I02","Advise others on products or services.","27.0%","469","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I19","Develop contingency or emergency response plans.","26.9%","184","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I28","Create decorative objects or parts of objects.","26.8%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46","Set up equipment.","26.6%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.4.I01","Develop professional relationships or networks.","26.4%","196","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I01","Coach others.","26.3%","24","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I10","Monitor operation of computer or information technologies.","26.0%","130","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I13","Prepare documentation for contracts, applications, or permits.","25.6%","339","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10","Direct construction or extraction activities.","25.1%","307","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.7.I02","Negotiate contracts or agreements.","24.9%","306","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I03","Operate construction or excavation equipment.","24.6%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I05","Evaluate production inputs or outputs.","24.5%","281","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I04","Maintain electronic, computer, or other technical equipment.","24.3%","133","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01","Develop patient or client care or treatment plans.","24.1%","136","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I25","Create artistic designs or performances.","24.1%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I11","Advise others on financial matters.","23.7%","228","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I02","Diagnose system or equipment problems.","23.6%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I02","Sell products or services.","23.5%","177","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I16","Direct legal activities.","23.4%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I04","Follow standard healthcare safety procedures to protect patient and staff members.","23.4%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11","Monitor operations to ensure compliance with regulations or standards.","23.4%","326","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I14","Collect data about consumer needs or opinions.","23.3%","473","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I13","Assign work to others.","23.1%","534","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I03","Assess student capabilities, needs, or performance.","22.3%","651","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I07","Evaluate the characteristics, usefulness, or performance of products or technologies.","22.3%","92","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I05","Train others to use equipment or products.","22.2%","163","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I08","Advise others on legal or regulatory matters.","22.1%","137","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03","Communicate with others about operational plans or activities.","22.1%","1357","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I03","Authorize business activities or transactions.","21.8%","129","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.5.I02","Schedule operational activities.","21.7%","78","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I09","Monitor environmental conditions.","21.6%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I03","Test characteristics of materials or products.","21.6%","91","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01","Present arts or entertainment performances.","21.6%","137","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I02","Teach academic or vocational subjects.","21.6%","760","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01","Perform recruiting or hiring activities.","21.2%","408","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01","Evaluate the quality or accuracy of data.","21.2%","441","","","","","","","","","","","","","","","","","","","","","",""
