GEO_ID|B19013_E001|B19013_M001
0100000US|75149|152
0100089US|54612|537
0100090US|44438|20276
0100091US|60202|410
0100092US|81102|1777
0100093US|79304|1189
0100094US|54354|663
0100095US|99200|5346
01000A0US|76521|157
01000C0US|78500|169
01000C1US|69421|158
01000C2US|84553|183
01000E0US|59498|185
01000E1US|52105|273
01000E2US|63851|227
01000G0US|56139|169
01000H0US|58154|148
010C201US|76220|162
010C243US|71122|157
0200000US1|83387|267
0200000US2|71286|154
0200000US3|69141|156
0200000US4|84681|204
02000A0US1|84144|271
02000A0US2|72485|181
02000A0US3|70633|172
02000A0US4|85548|208
02000C0US1|85605|278
02000C0US2|74341|203
02000C0US3|72711|182
02000C0US4|87129|216
02000C1US1|68074|341
02000C1US2|61352|233
02000C1US3|64575|195
02000C1US4|83323|287
02000C2US1|94349|302
02000C2US2|82525|241
02000C2US3|78073|224
02000C2US4|90785|254
02000E0US1|65598|403
02000E0US2|62923|263
02000E0US3|52563|293
02000E0US4|66419|458
02000E1US1|52982|789
02000E1US2|54042|445
02000E1US3|46244|370
02000E1US4|60545|726
02000E2US1|69174|465
02000E2US2|69095|275
02000E2US3|55983|319
02000E2US4|69723|518
02000G0US1|62114|519
02000G0US2|60795|220
02000G0US3|50105|262
02000G0US4|60638|536
02000H0US1|64488|332
02000H0US2|62026|191
02000H0US3|51467|217
02000H0US4|64508|359
020C201US1|83303|293
020C201US2|70070|199
020C201US3|70793|173
020C201US4|85710|212
020C243US1|83766|322
020C243US2|74816|195
020C243US3|63861|236
020C243US4|77060|334
0300000US1|88864|376
0300000US2|81475|280
0300000US3|70746|174
0300000US4|72453|202
0300000US5|72173|206
0300000US6|60251|244
0300000US7|68709|169
0300000US8|75693|232
0300000US9|90112|237
03000A0US1|90590|378
03000A0US2|81956|284
03000A0US3|71543|187
03000A0US4|74966|220
03000A0US5|73442|221
03000A0US6|62527|253
03000A0US7|69955|184
03000A0US8|76841|243
03000A0US9|90580|241
03000C0US1|91867|415
03000C0US2|83508|308
03000C0US3|72965|223
03000C0US4|77811|250
03000C0US5|75052|220
03000C0US6|65748|285
03000C0US7|71783|201
03000C0US8|78194|269
03000C0US9|91900|247
03000C1US1|75330|746
03000C1US2|66421|409
03000C1US3|58591|229
03000C1US4|67307|370
03000C1US5|67681|283
03000C1US6|57975|363
03000C1US7|63987|247
03000C1US8|72015|315
03000C1US9|90023|288
03000C2US1|97240|455
03000C2US2|93219|335
03000C2US3|81202|257
03000C2US4|86511|344
03000C2US5|78415|261
03000C2US6|71688|399
03000C2US7|80575|315
03000C2US8|84782|384
03000C2US9|93633|320
03000E0US1|76391|951
03000E0US2|60635|493
03000E0US3|63010|319
03000E0US4|62774|377
03000E0US5|52524|436
03000E0US6|51655|449
03000E0US7|53642|455
03000E0US8|66701|589
03000E0US9|66047|711
03000E1US1|61883|1497
03000E1US2|48426|1250
03000E1US3|51090|524
03000E1US4|57024|498
03000E1US5|45444|740
03000E1US6|44943|609
03000E1US7|47984|614
03000E1US8|61106|803
03000E1US9|59632|1209
03000E2US1|80684|1034
03000E2US2|64449|575
03000E2US3|68948|359
03000E2US4|69487|468
03000E2US5|55323|441
03000E2US6|55193|562
03000E2US7|57888|511
03000E2US8|70877|748
03000E2US9|68634|741
03000G0US1|62632|803
03000G0US2|61661|739
03000G0US3|60760|353
03000G0US4|60828|297
03000G0US5|50941|401
03000G0US6|46593|422
03000G0US7|52511|446
03000G0US8|58308|596
03000G0US9|65093|915
03000H0US1|70347|595
03000H0US2|60927|413
03000H0US3|62201|241
03000H0US4|61789|259
03000H0US5|51782|303
03000H0US6|49516|350
03000H0US7|53136|328
03000H0US8|63636|459
03000H0US9|65773|539
030C201US1|87821|440
030C201US2|81803|311
030C201US3|69264|205
030C201US4|72080|263
030C201US5|73992|227
030C201US6|61450|299
030C201US7|69347|190
030C201US8|76454|243
030C201US9|90930|245
030C243US1|92562|659
030C243US2|79909|355
030C243US3|75702|254
030C243US4|73331|287
030C243US5|65813|316
030C243US6|58587|354
030C243US7|66172|389
030C243US8|71481|476
030C243US9|82152|400
0400000US01|59609|377
0400000US02|86370|1083
0400000US04|72581|450
0400000US05|56335|422
0400000US06|91905|277
0400000US08|87598|508
0400000US09|90213|730
0400000US10|79325|1227
0400000US11|101722|1569
0400000US12|67917|259
0400000US13|71355|353
0400000US15|94814|994
0400000US16|70214|715
0400000US17|78433|297
0400000US18|67173|383
0400000US19|70571|395
0400000US20|69747|479
0400000US21|60183|443
0400000US22|57852|468
0400000US23|68251|611
0400000US24|98461|511
0400000US25|96505|551
0400000US26|68505|307
0400000US27|84313|348
0400000US28|52985|527
0400000US29|65920|361
0400000US30|66341|748
0400000US31|71722|577
0400000US32|71646|495
0400000US33|90845|966
0400000US34|97126|605
0400000US35|58722|581
0400000US36|81386|350
0400000US37|66186|380
0400000US38|73959|1131
0400000US39|66990|272
0400000US40|61364|451
0400000US41|76632|539
0400000US42|73170|347
0400000US44|81370|1213
0400000US45|63623|486
0400000US46|69457|788
0400000US47|64035|350
0400000US48|73035|227
0400000US49|86833|674
0400000US50|74014|1049
0400000US51|87249|428
0400000US53|90325|433
0400000US54|55217|577
0400000US55|72458|372
0400000US56|72495|1201
0400000US72|24002|222
04000A0US01|60966|462
04000A0US02|90466|1755
04000A0US04|72983|459
04000A0US05|58361|509
04000A0US06|92167|277
04000A0US08|89727|516
04000A0US09|90213|730
04000A0US10|79325|1227
04000A0US11|101722|1569
04000A0US12|68217|260
04000A0US13|73057|394
04000A0US15|94817|993
04000A0US16|71580|726
04000A0US17|79635|321
04000A0US18|67500|374
04000A0US19|72298|480
04000A0US20|71641|622
04000A0US21|63942|487
04000A0US22|59039|482
04000A0US23|73685|1052
04000A0US24|98984|509
04000A0US25|96456|555
04000A0US26|69595|330
04000A0US27|86624|412
04000A0US28|55468|637
04000A0US29|68388|346
04000A0US30|69991|922
04000A0US31|74040|688
04000A0US32|71679|504
04000A0US33|91514|1000
04000A0US34|97126|605
04000A0US35|59330|629
04000A0US36|81865|350
04000A0US37|67421|374
04000A0US38|75438|1224
04000A0US39|67255|282
04000A0US40|63272|468
04000A0US41|77173|556
04000A0US42|73649|350
04000A0US44|81370|1213
04000A0US45|64980|508
04000A0US46|72020|944
04000A0US47|65633|380
04000A0US48|73902|241
04000A0US49|88059|756
04000A0US50|76505|1376
04000A0US51|91270|444
04000A0US53|91147|432
04000A0US54|57395|602
04000A0US55|73960|409
04000A0US56|74394|1435
04000A0US72|24033|220
04000C0US01|63160|511
04000C0US02|90280|1974
04000C0US04|73819|458
04000C0US05|61715|750
04000C0US06|92732|300
04000C0US08|90754|490
04000C0US09|90267|777
04000C0US10|79325|1227
04000C0US11|101722|1569
04000C0US12|68478|257
04000C0US13|75657|398
04000C0US15|99233|1263
04000C0US16|73548|872
04000C0US17|81216|318
04000C0US18|68579|412
04000C0US19|74957|617
04000C0US20|75315|738
04000C0US21|67830|610
04000C0US22|60810|563
04000C0US23|75855|957
04000C0US24|99415|514
04000C0US25|96470|555
04000C0US26|70542|382
04000C0US27|90229|447
04000C0US28|60400|753
04000C0US29|70660|424
04000C0US30|68257|1247
04000C0US31|76589|799
04000C0US32|71618|522
04000C0US33|98761|1455
04000C0US34|97126|605
04000C0US35|61423|834
04000C0US36|83368|394
04000C0US37|69737|385
04000C0US38|74491|2004
04000C0US39|68458|307
04000C0US40|66041|611
04000C0US41|80425|660
04000C0US42|75271|370
04000C0US44|81370|1213
04000C0US45|66898|542
04000C0US46|75158|1286
04000C0US47|67895|384
04000C0US48|75146|260
04000C0US49|88745|788
04000C0US50|86183|2604
04000C0US51|93442|471
04000C0US53|93522|542
04000C0US54|58640|698
04000C0US55|74908|476
04000C0US56|73185|2476
04000C0US72|24153|224
04000C1US01|55688|799
04000C1US02|92315|2716
04000C1US04|71225|529
04000C1US05|57550|928
04000C1US06|92613|380
04000C1US08|81570|628
04000C1US09|67825|1255
04000C1US10|54617|2694
04000C1US11|101722|1569
04000C1US12|64543|452
04000C1US13|61532|690
04000C1US15|83549|1311
04000C1US16|68316|1462
04000C1US17|71625|490
04000C1US18|55667|527
04000C1US19|63193|782
04000C1US20|66918|956
04000C1US21|61862|864
04000C1US22|52974|810
04000C1US23|64756|1864
04000C1US24|75719|1021
04000C1US25|84465|1168
04000C1US26|54565|548
04000C1US27|81119|719
04000C1US28|44615|1553
04000C1US29|57611|568
04000C1US30|65061|1655
04000C1US31|68635|910
04000C1US32|69803|666
04000C1US33|78554|2745
04000C1US34|58969|1001
04000C1US35|60498|1272
04000C1US36|71584|475
04000C1US37|66801|683
04000C1US38|66385|1814
04000C1US39|49633|467
04000C1US40|60288|837
04000C1US41|77096|775
04000C1US42|54907|561
04000C1US44|67483|2209
04000C1US45|63129|953
04000C1US46|69213|1681
04000C1US47|59131|531
04000C1US48|66064|291
04000C1US49|68314|960
04000C1US50|73597|4345
04000C1US51|76280|730
04000C1US53|85578|801
